SiteID,Site_Description_Cap,Site_Description_Lower,Region,Lat,Long,Site_Type
570,OLD FINGLAS RD @ VIOLET HILL RD,old finglas rd @ violet hill rd,NCITY,53.37808875,-6.28258769,SCATS Site
571,N32 @ BELCAMP COLLEGE,n32 @ belcamp college,NCITY,53.4046087,-6.1883813,SCATS Site
573,NAAS RD @ THE GAP (LUAS),naas rd @ the gap (luas),WCITY1,53.33266689,-6.329490687,SCATS Site
574,CLOGHER RD @ PEARSE COLLEGE,clogher rd @ pearse college,NULL,53.326239,-6.294569,Signal Site
575,RAHENY RD @ GRANGE PARK RD,raheny rd @ grange park rd,NCITY,53.38694732,-6.17362034,SCATS Site
576,PALMERSTON RD @ COWPER RD,palmerston rd @ cowper rd,NULL,53.316102,-6.258838,Signal Site
577,DUNVILLE AVE @ SHUTTLE (LUAS),dunville ave @ shuttle (luas),SCITY,53.32107133,-6.254677774,SCATS Site
578,MELLOWS RD @ SWIMMING POOL,mellows rd @ swimming pool,NCITY,53.3898106,-6.3056651,SCATS Site
579,TOLKA VALLEY RD @ ST HELENA'S RD,tolka valley rd @ st helena's rd,NULL,53.37877,-6.296612,Signal Site
580,TOLKA VALLEY RD @ CARDIFFISBRIDGE RD,tolka valley rd @ cardiffisbridge rd,NULL,53.379361,-6.310933,Signal Site
582,BRIDGE ST @ COOKE ST,bridge st @ cooke st,CCITY,53.34419545,-6.276349215,SCATS Site
583,BEAVER ROW @ BEECH HILL AV,beaver row @ beech hill av,SCITY,53.318081,-6.233528,SCATS Site
584,EAST WALL RD @ SHERRIF ST,east wall rd @ sherrif st,NCITY,53.34966933,-6.22692356,SCATS Site
585,GRANGE RD @ DONAGHMEDE SHOPPING CENTRE,grange rd @ donaghmede shopping centre,NCITY,53.395425,-6.163114,SCATS Site
586,MALAHIDE RD @ ELM MOUNT RD,malahide rd @ elm mount rd,NCITY,53.3773202,-6.2155529,SCATS Site
587,WALKINSTOWN R'ABOUT @ KESTRAL,walkinstown r'about @ kestral,NULL,53.317764,-6.332609,Signal Site
588,SCR @ HERBERTON RD/UPPERCROSS RD,scr @ herberton rd/uppercross rd,SCITY,53.3359902,-6.2988976,SCATS Site
589,PEMBROKE ST @ IRISHTOWN RD,pembroke st @ irishtown rd,NULL,53.340156,-6.223261,Signal Site
590,GRANGE RD @ COMMUNITY SCHOOL,grange rd @ community school,NULL,53.399648,-6.159334,Signal Site
591,KILMORE RD @ MARYFIELD CRESCENT,kilmore rd @ maryfield crescent,NCITY,53.3826664,-6.2129617,SCATS Site
592,BALCURRIS RD /SILLOGUE PED,balcurris rd /sillogue ped,NULL,53.396963,-6.267111,Signal Site
593,ALFIE BYRNE RD @ DART STATION,alfie byrne rd @ dart station,NCITY,53.36109691,-6.227780202,SCATS Site
594,MALAHIDE RD @ BRIAN RD,malahide rd @ brian rd,NCITY,53.3680694,-6.2274334,SCATS Site
595,BLACKHORSE AVE @ GLENBEIGH RD,blackhorse ave @ glenbeigh rd,NULL,53.356639,-6.29659,Signal Site
596,GRIFFITH AVE @ BERESFORD ESTATE,griffith ave @ beresford estate,NCITY,53.3745192,-6.2458056,SCATS Site
597,NAVAN RD @ ASHTOWN GR,navan rd @ ashtown gr,WCITY1,53.369758,-6.32459,SCATS Site
598,STRAND RD @ MARINE DR,strand rd @ marine dr,NULL,53.3346469,-6.2142741,Signal Site
599,TERENURE PL @ TEMPLEOGUE RD,terenure pl @ templeogue rd,SCITY,53.3094976,-6.2847642,SCATS Site
600,EAST WALL RD @ DUBLIN PORT,east wall rd @ dublin port,NCITY,53.3524713,-6.224957739,SCATS Site
601,NAVAN RD @ ASHTOWN R'ABOUT,navan rd @ ashtown r'about,NULL,53.3717,-6.332251,Signal Site
602,GLASNEVIN AVE @ LANEWAY,glasnevin ave @ laneway,NULL,53.390134,-6.2745,Signal Site
603,MALAHIDE RD @ ARDLEA RD (NORTH-SOUTH),malahide rd @ ardlea rd (north-south),NCITY,53.38294666,-6.20465646,SCATS Site
604,MALAHIDE RD @ ARDLEA RD (EAST-WEST),malahide rd @ ardlea rd (east-west),NCITY,53.3826216,-6.2062264,SCATS Site
605,SWORDS RD @ IVERAGH RD,swords rd @ iveragh rd,NCITY,53.3811174,-6.2454129,SCATS Site
606,CRUMLIN RD @ ARDAGH RD,crumlin rd @ ardagh rd,WCITY1,53.32887825,-6.303362208,SCATS Site
607,BLACKHORSE AVE @ TURNSTYLE PUB,blackhorse ave @ turnstyle pub,NULL,53.364969,-6.319266,Signal Site
608,MALAHIDE RD @ ST BRENDANS CHURCH,malahide rd @ st brendans church,NCITY,53.38808855,-6.199225223,SCATS Site
610,MOREHAMPTON RD @ WELLINGTON PL,morehampton rd @ wellington pl,SCITY,53.32764353,-6.244392851,SCATS Site
611,OSCAR TRAYNOR RD @ CLONSHAUGH RD,oscar traynor rd @ clonshaugh rd,NCITY,53.3962867,-6.2169049,SCATS Site
612,ABBEY STREET MIDDLE @ LIFFEY ST (LUAS),abbey street middle @ liffey st (luas),CCITY,53.34793766,-6.263643766,SCATS Site
613,LEESON ST @ DARTMOUTH RD,leeson st @ dartmouth rd,SCITY,53.3306178,-6.2518993,SCATS Site
614,SUSSEX RD @ BURLINGTON RD,sussex rd @ burlington rd,SCITY,53.32930203,-6.248420171,SCATS Site
615,DONNYBROOK RD @ EGLINTON RD,donnybrook rd @ eglinton rd,SCITY,53.319603,-6.232702,SCATS Site
616,KILBARRON RD @ TRIM RD,kilbarron rd @ trim rd,NULL,53.3930897,-6.2213413,Signal Site
617,TONLEGEE RD / MOATFIELD RD,tonlegee rd / moatfield rd,NCITY,53.38990084,-6.193174381,SCATS Site
618,RANELAGH @ SALLYMOUNT AVE,ranelagh @ sallymount ave,SCITY,53.3241866,-6.2523517,SCATS Site
619,ERRIGAL RD @ BRANDON RD,errigal rd @ brandon rd,WCITY1,53.32638273,-6.32219781,SCATS Site
620,WELLINGTON RD @ CLYDE RD,wellington rd @ clyde rd,NULL,53.328099,-6.241527,Signal Site
622,AUNGIER ST @ LONGFORD ST,aungier st @ longford st,SCITY,53.340691,-6.265586,SCATS Site
623,RATHGAR RD / GROSVENOR RD @ CHARLEVILLE RD ,rathgar rd / grosvenor rd @ charleville rd ,SCITY,53.321366,-6.267498,SCATS Site
624,GRIFFITH AV @ WALNUT RISE (COURTLANDS),griffith av @ walnut rise (courtlands),NCITY,53.3774714,-6.2580005,SCATS Site
625,HALFPENNY BRIDGE ,halfpenny bridge ,CCITY,53.34566978,-6.26503475,SCATS Site
626,KILBARRACK RD @ THORNVILLE RD,kilbarrack rd @ thornville rd,NCITY,53.38913522,-6.152513016,SCATS Site
627,CASTLE AV @ SEAFIELD RD,castle av @ seafield rd,NULL,53.3652453,-6.204829,Signal Site
628,PRUSSIA ST @ AUGHRIM ST,prussia st @ aughrim st,CCITY,53.35331181,-6.285299255,SCATS Site
629,CRUMLIN RD @ RAFTERS RD,crumlin rd @ rafters rd,WCITY1,53.32674015,-6.313319206,SCATS Site
630,MOUNT PROSPECT AVE @ CLONTARF RD,mount prospect ave @ clontarf rd,NCITY,53.36684735,-6.17264609,SCATS Site
631,VERNON AVE @ MOUNT PROSPECT AVE,vernon ave @ mount prospect ave,NCITY,53.36716065,-6.194883585,Signal Site
632,VERNON AVE @ SYBIL HILL RD,vernon ave @ sybil hill rd,NCITY,53.3692689,-6.1944541,Signal Site
633,VERNON AVE @ KINCORA RD,vernon ave @ kincora rd,NULL,53.362396,-6.19604,Signal Site
634,GRANGE RD @ GRANGE ABBEY,grange rd @ grange abbey,NCITY,53.39845917,-6.16003412,SCATS Site
635,GRANGE RD @ DONAGHMEDE PK,grange rd @ donaghmede pk,NCITY,53.39824711,-6.156052823,SCATS Site
636,STRAND RD @ ST ALBANS PARK,strand rd @ st albans park,NULL,53.3202912,-6.2059826,Signal Site
637,KEEPER RD @ HERBERTON RD,keeper rd @ herberton rd,WCITY1,53.33122057,-6.297950149,SCATS Site
638,STANNAWAY RD @ BANGOR RD,stannaway rd @ bangor rd,NULL,53.320579,-6.2983354,Signal Site
639,TONLEGEE RD @ SPRINGDALE ROAD,tonlegee rd @ springdale road,NULL,53.3902525,-6.1915019,Signal Site
640,COLLINS AVE @ DCU,collins ave @ dcu,NCITY,53.3862135,-6.2549866,SCATS Site
641,TEMPLEOGUE RD @ TERENURE COLLEGE,templeogue rd @ terenure college,SCITY,53.30386386,-6.293915394,SCATS Site
642,TEMPLEOGUE RD @ BUSGATE,templeogue rd @ busgate,SCITY,53.30570543,-6.290911843,SCATS Site
647,NCR @ O'CONNELLS SCHOOL,ncr @ o'connells school,NCITY,53.3575631,-6.251277,SCATS Site
648,SHELBOURNE RD / CRAMPTON AVE,shelbourne rd / crampton ave,SCITY,53.33213808,-6.231785119,SCATS Site
649,SKELLYS LANE / WHITETHORN RISE,skellys lane / whitethorn rise,NULL,53.3843923,-6.2210689,SCATS Site
650,MILLTOWN RD @ ST ANNES,milltown rd @ st annes,SCITY,53.313149,-6.2470577,SCATS Site
651,SARSFIELD RD @ LANDON RD,sarsfield rd @ landon rd,WCITY1,53.342196,-6.32894,SCATS Site
652,BALLYGALL RD EAST @ CHURCH,ballygall rd east @ church,NULL,53.383702,-6.2765,Signal Site
653,NICHOLAS ST @ BULL ALLEY ST,nicholas st @ bull alley st,SCITY,53.34059504,-6.27239547,SCATS Site
